backbone,tsk_pretext,d_pretext,head_pred,ft_strategy,tsk_target,d_target,frac_dtarget,metric_target,metric
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,0.1,accuracy,0.5663676098458708
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,RW-Thigh,0.1,accuracy,0.5547504025764897
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.1955371520588912
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.1789740050609616
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.23567977915804003
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.18046928916494132
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,0.01,accuracy,0.23360938578329882
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,RW-Thigh,0.01,accuracy,0.24430641821946172
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7645502645502645
aLLM4TS,aLLM4TS,A,hiaac,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7422360248447205
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7415458937198067
aLLM4TS,aLLM4TS,A,hiaac,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7391304347826088
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7168161950770647
aLLM4TS,aLLM4TS,A,hiaac,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7134805613066483
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,1.0,accuracy,0.8011831275720165
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,RW-Waist,1.0,accuracy,0.7876800411522633
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,1.0,accuracy,0.7874228395061728
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,RW-Waist,1.0,accuracy,0.8009259259259259
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Waist,1.0,accuracy,0.7824074074074074
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,RW-Waist,1.0,accuracy,0.7822788065843621
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,0.1,accuracy,0.6198559670781894
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,RW-Waist,0.1,accuracy,0.594264403292181
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.1,accuracy,0.6526491769547326
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,RW-Waist,0.1,accuracy,0.599022633744856
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Waist,0.1,accuracy,0.6397890946502057
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,RW-Waist,0.1,accuracy,0.6364454732510287
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,0.01,accuracy,0.3019547325102881
aLLM4TS,aLLM4TS,AD,hiaac,Full Finetune,HAR,RW-Waist,0.01,accuracy,0.28665123456790126
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.01,accuracy,0.2860082304526749
aLLM4TS,aLLM4TS,AD,hiaac,Partial Freeze,HAR,RW-Waist,0.01,accuracy,0.2984825102880659
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Waist,0.01,accuracy,0.30118312757201643
aLLM4TS,aLLM4TS,AD,hiaac,Freeze,HAR,RW-Waist,0.01,accuracy,0.30529835390946497
